a,b,c,d,e,f,g,h,i,j,k,l,m
-0.14674027,-0.93504035,0.1452151,-0.033279225,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.123816624,-0.93504035,-0.106648654,-0.032999612,-0.34974253,0.93045443,-0.07727383,-0.62375355,0.8502387,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.124087915,-0.93504035,-0.10903222,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,0.92450505,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.1272077,-0.93504035,-0.10045138,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.040957935,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.123409696,-0.93504035,-0.106966466,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.9987714,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.123816624,-0.93504035,-0.10426509,-0.032999612,1.0583804,0.93045443,-0.07727383,-0.62375355,1.0730379,0.9218654,-0.19168988,-0.05374304,-0.37467143
8.327409,-0.93504035,-0.20723525,-0.035174396,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.11920477,-0.93504035,-0.09838562,-0.032999612,1.762442,0.93045443,-0.07727383,-0.62375355,0.03330845,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.7751417,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.11703448,-0.93504035,-0.097591095,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.107574835,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.123002775,-0.93504035,-0.10331166,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,1.1473042,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.03076566,-0.93504035,0.61191785,-0.030855896,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.122731484,-0.93504035,-0.105218515,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,1.2215706,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.120968126,-0.93504035,-0.1012459,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,1.295837,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12110377,-0.93504035,-0.105218515,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,1.3701034,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.11635627,-0.93504035,-0.10267604,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,0.18184122,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.0029588817,-0.93504035,0.80276227,-0.028618976,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
8.22934,-0.93504035,-0.20723525,-0.035174396,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.48655623,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12137505,-0.93504035,-0.10442399,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,1.4443698,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12028991,-0.93504035,-0.10283495,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,1.5186361,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1640196,-0.19168988,-0.05374304,2.6951616
-0.18770438,-0.93504035,-0.20723525,-0.03846764,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13982248,-0.93504035,0.15125348,-0.033279225,0.7063497,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12042555,-0.93504035,-0.10156371,-0.032999612,1.0583804,0.93045443,-0.07727383,-0.62375355,0.2561076,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.14748713,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.17970146,-0.93504035,0.17508917,-0.029147137,1.0583804,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.17264804,1.0756936,-0.18689546,-0.031663675,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.1894907,-0.8447515,-0.19168988,-0.05374304,-0.37467143
-0.16505204,-0.93504035,0.15014113,-0.033279225,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.060064506,1.0756936,0.18605357,0.008694103,-0.34974253,0.93045443,-0.07727383,0.7751417,-0.11522432,-0.82346696,-0.19168988,-0.05374304,-0.37467143
-0.18770438,-0.93504035,-0.20723525,-0.03846764,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.41228986,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13439676,-0.93504035,0.1522069,-0.033279225,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.7086233,-0.93504035,-0.20723525,-0.03846764,0.7063497,0.93045443,-0.07727383,-0.62375355,0.330374,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.29951736,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.18770438,-0.93504035,-0.20723525,-0.03846764,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.33802348,0.9218654,-0.19168988,-0.05374304,-0.37467143
8.135203,-0.93504035,-0.20723525,-0.035174396,0.7063497,0.93045443,-0.07727383,-0.62375355,-0.41228986,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.07091593,-0.93504035,-0.12063226,-0.02911607,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.78919506,-0.93504035,-0.20723525,-0.03846764,0.35431895,0.93045443,-0.07727383,-0.62375355,0.40464038,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12910669,-0.93504035,-0.09568424,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.47890675,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.70333326,-0.93504035,-0.20723525,-0.03846764,0.7063497,0.93045443,-0.07727383,-0.62375355,0.5531731,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.06711792,-0.93504035,0.18303439,-0.028898591,0.7063497,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.06711792,-0.93504035,0.18494125,-0.028898591,1.0583804,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.031087454,-0.93504035,0.1833522,-0.028898591,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.030273605,-0.93504035,0.1833522,-0.028898591,1.762442,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.1646451,-0.93504035,0.18128644,-0.028898591,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.16423817,-0.93504035,0.17922068,-0.028898591,1.762442,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15406497,-0.93504035,0.1833522,-0.028898591,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15406497,-0.93504035,0.18239877,-0.028898591,2.4665034,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14158583,-0.93504035,0.19161524,-0.028898591,2.8185341,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14036505,-0.93504035,0.1941577,-0.028898591,3.170565,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.103605844,-0.93504035,0.16380693,-0.029892778,3.5225956,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15189467,-0.93504035,0.17890286,-0.028898591,3.170565,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15487882,-0.93504035,0.18541795,-0.028898591,3.5225956,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15542139,-0.93504035,0.19129743,-0.028898591,3.8746264,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15501447,-0.93504035,0.187007,-0.028898591,4.226657,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15433626,-0.93504035,0.1871659,-0.028898591,4.5786877,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14362048,-0.93504035,-0.103788376,-0.032999612,4.9307184,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14158583,-0.93504035,-0.10315275,-0.032999612,5.282749,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14158583,-0.93504035,-0.10633085,-0.032999612,5.63478,0.93045443,-0.07727383,-0.62375355,-0.48655623,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14158583,-0.93504035,-0.10537742,-0.032999612,5.9868107,0.93045443,-0.07727383,-0.62375355,-0.41228986,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13209084,-0.93504035,0.16190007,-0.030855896,6.3388414,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14443433,-0.93504035,0.1941577,-0.028898591,5.282749,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.1433492,-0.93504035,0.18811934,-0.028898591,5.63478,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14579076,-0.93504035,0.18351111,-0.028898591,5.9868107,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13860169,-0.93504035,0.17715491,-0.028898591,6.3388414,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.1383304,-0.93504035,0.18796043,-0.028898591,6.690872,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14253533,-0.93504035,0.18859605,-0.028898591,7.042903,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.124901764,-0.93504035,0.6125535,-0.030855896,4.9307184,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.08095349,-0.93504035,-0.06374442,-0.03303068,5.282749,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.15135211,-0.93504035,0.18430562,-0.028898591,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14931747,-0.93504035,0.18494125,-0.028898591,2.4665034,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15080954,-0.93504035,0.1838289,-0.028898591,2.8185341,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15040262,-0.93504035,0.1868481,-0.028898591,3.170565,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12246019,-0.93504035,0.18271658,-0.028898591,3.5225956,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14809668,-0.93504035,-0.10728427,-0.032999612,1.762442,0.93045443,-0.07727383,-0.62375355,-0.33802348,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13900861,-0.93504035,0.18446453,-0.028898591,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.17264804,1.0756936,-0.18689546,-0.031663675,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.040957935,-0.8021824,-0.19168988,-0.05374304,-0.37467143
-0.1551501,-0.93504035,0.14457949,-0.033279225,1.762442,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14836797,-0.93504035,-0.10950894,-0.032999612,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.26375708,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14836797,-0.93504035,-0.107919894,-0.032999612,2.4665034,0.93045443,-0.07727383,-0.62375355,-0.1894907,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14836797,-0.93504035,-0.10919113,-0.032999612,2.8185341,0.93045443,-0.07727383,-0.62375355,-0.11522432,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.113643415,-0.93504035,0.9273434,-0.030855896,3.170565,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.17115596,1.0756936,-0.18689546,-0.031663675,-0.34974253,0.93045443,-0.07727383,-0.62375355,-0.48655623,-0.78089786,-0.19168988,-0.05374304,-0.37467143
-0.06331993,1.0756936,0.23229481,0.015901959,0.0022882018,0.93045443,-0.07727383,-0.62375355,0.03330845,-0.75961334,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.14538383,-0.93504035,0.18462344,-0.028898591,1.0583804,0.93045443,-0.07727383,-0.62375355,-0.5608226,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.13805912,-0.93504035,0.14442058,-0.033279225,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.09790885,1.0756936,0.18541795,0.008694103,0.35431895,0.93045443,-0.07727383,0.075694084,-0.41228986,-0.73832875,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.06419543,-0.63508904,-1.1640196,-0.19168988,-0.05374304,2.6951616
-0.15080954,-0.93504035,-0.10680756,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.040957935,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15325111,-0.93504035,0.14299044,-0.033279225,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.49536267,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.14809668,-0.93504035,-0.10855551,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.03330845,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,1.2507662,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.14931747,-0.93504035,-0.10998565,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.107574835,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14741847,-0.93504035,-0.107919894,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.18184122,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14850362,-0.93504035,-0.10950894,-0.032999612,1.0583804,0.93045443,-0.07727383,-0.62375355,0.2561076,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.14809668,-0.93504035,-0.107919894,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.330374,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.142735,-0.19168988,-0.05374304,2.6951616
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.34974253,0.93045443,14.627546,2.174037,-0.63508904,-1.1214505,-0.19168988,-0.05374304,2.6951616
-0.14741847,-0.93504035,-0.103947274,-0.032999612,-0.34974253,0.93045443,-0.07727383,-0.62375355,0.40464038,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14809668,-0.93504035,-0.10267604,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,0.47890675,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14307791,-0.93504035,0.6127124,-0.030855896,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.1468759,-0.93504035,-0.1012459,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.5531731,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.14077197,-0.93504035,0.15030004,-0.033279225,0.7063497,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
