type,a,b,c,d,e,f,g,h,i,j,k,l,m
1,4.64,8,635,176,4.00,1.00,0.00,0.00,17.00,100.00,0.00,0.00,0.00
1,4.73,8,686,176,5.00,1.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00
-1,1.20,49,128,219,0.00,0.00,0.00,1.00,0.00,16.00,0.00,0.00,0.00
1,4.81,8,677,176,6.00,1.00,0.00,0.00,18.00,100.00,0.00,0.00,0.00
1,4.88,8,673,176,7.00,1.00,0.00,0.00,19.00,100.00,0.00,0.00,0.00
1,35.46,8,38682,94,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.00,8,0,0,6.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,0.00,8,0,0,7.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
1,2.17,8,7121,245,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.21,8,5246,245,9.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,7.10,49,2473,1518,1.00,1.00,0.00,0.00,1.00,17.00,0.00,0.00,0.00
1,65.64,8,0,0,10.00,1.00,0.00,0.00,6.00,100.00,0.00,0.00,0.00
1,65.81,8,0,0,11.00,1.00,0.00,0.00,7.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,5.00,18.00,0.00,0.00,0.00
1,3.02,8,2218,167,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.71,8,633,176,1.00,1.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00
1,4.69,8,618,176,2.00,1.00,0.00,0.00,21.00,100.00,0.00,0.00,0.00
1,4.46,8,672,176,3.00,1.00,0.00,0.00,8.00,100.00,0.00,0.00,0.00
1,4.74,8,631,176,4.00,1.00,0.00,0.00,22.00,100.00,0.00,0.00,0.00
1,4.71,8,648,176,5.00,1.00,0.00,0.00,23.00,100.00,0.00,0.00,0.00
1,627.76,8,0,106,6.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,5.05,8,685,176,7.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
1,5.21,8,690,176,4.00,1.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,4.77,8,654,176,2.00,1.00,0.00,0.00,24.00,100.00,0.00,0.00,0.00
1,11.57,8,5155,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.79,8,642,176,3.00,1.00,0.00,0.00,25.00,100.00,0.00,0.00,0.00
1,4.92,8,667,176,3.00,1.00,0.00,0.00,26.00,100.00,0.00,0.00,0.00
1,4.91,8,642,176,4.00,1.00,0.00,0.00,27.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,5.26,8,658,176,2.00,1.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00
1,13.62,8,6356,317,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,620.53,8,0,106,2.00,1.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00
1,4.89,8,647,176,3.00,1.00,0.00,0.00,28.00,100.00,0.00,0.00,0.00
1,4.97,8,657,176,4.00,1.00,0.00,0.00,29.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00
1,0.00,8,0,0,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.53,8,2256,167,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.96,8,665,176,5.00,1.00,0.00,0.00,12.00,100.00,0.00,0.00,0.00
-1,0.00,49,376,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,0.59,8,2406,300,5.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,1.00,6.00,17.00,0.00,0.00,0.00
1,1.67,8,2249,167,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,9.41,49,2475,1518,1.00,1.00,0.00,0.50,7.00,18.00,0.00,0.00,0.00
1,0.00,8,0,0,2.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,3.93,8,2262,167,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,66.08,8,0,0,4.00,1.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,0.00,8,0,0,3.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
1,613.59,8,0,106,4.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,8.61,8,545,301,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,72.02,8,0,0,3.00,1.00,0.00,0.00,14.00,100.00,0.00,0.00,0.00
1,4.32,8,702,176,3.00,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00
1,65.69,8,0,0,4.00,1.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1,8.89,8,2456,308,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,8.89,8,2468,308,5.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,16.13,8,2458,308,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,16.07,8,2458,308,7.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,1.70,8,2445,308,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,1.73,8,2432,308,7.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,2.48,8,2458,308,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.48,8,2452,308,9.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.40,8,2510,308,10.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.49,8,2526,308,11.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,6.20,8,2335,276,12.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.64,8,2430,308,11.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.42,8,2471,308,12.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.38,8,2508,308,13.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.41,8,2481,308,14.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,2.46,8,2482,308,15.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.25,8,651,176,16.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.40,8,655,176,17.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.40,8,635,176,18.00,1.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00
1,3.40,8,641,176,19.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,4.10,8,2323,245,20.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.19,8,2526,308,17.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.27,8,2488,308,18.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.09,8,2459,308,19.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.62,8,2419,308,20.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.64,8,2487,308,21.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.33,8,2491,308,22.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1,4.63,8,5159,245,16.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,7.87,8,903,175,17.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,2.68,8,2464,308,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.83,8,2468,308,9.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,2.72,8,2461,308,10.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.75,8,2480,308,11.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.81,8,2454,308,12.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,2.92,8,629,176,7.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
1,3.59,8,2465,308,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,8.00,19.00,0.00,0.00,0.00
1,2.40,8,2214,167,7.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.90,8,615,176,8.00,1.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00
1,2.90,8,625,176,9.00,1.00,0.00,0.00,6.00,100.00,0.00,0.00,0.00
1,2.90,8,617,176,10.00,1.00,0.00,0.00,7.00,100.00,0.00,0.00,0.00
1,5.46,8,7140,245,11.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.22,49,128,219,1.00,1.00,0.00,0.00,2.00,20.00,0.00,0.00,0.00
-1,9.17,49,2766,1750,2.00,1.00,0.00,0.00,9.00,21.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3.12,8,2466,308,5.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,3.66,8,2213,167,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.62,49,2471,1518,3.00,1.00,0.00,0.25,3.00,22.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.20,0.00,2.00,0.00,0.00,1.00
1,2.72,8,632,176,2.00,1.00,0.00,0.00,8.00,100.00,0.00,0.00,0.00
1,2.54,8,2204,167,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.40,0.00,1.00,0.00,0.00,1.00
1,2.92,8,621,176,4.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
1,2.83,8,612,176,3.00,1.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00
1,2.97,8,625,176,4.00,1.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00
1,2.89,8,615,176,5.00,1.00,0.00,0.00,12.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,2.92,8,625,176,3.00,1.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00
-1,0.00,49,0,0,1.00,1.00,1.00,1.00,0.00,4.00,0.00,0.00,1.00
1,2.97,8,650,176,1.00,1.00,0.00,0.00,14.00,100.00,0.00,0.00,0.00
1,2.92,8,658,176,2.00,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00
1,3.29,8,5160,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,3.01,8,667,176,3.00,1.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00
1,3.46,8,2250,167,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.00,8,659,176,4.00,1.00,0.00,0.00,17.00,100.00,0.00,0.00,0.00
1,2.84,8,667,176,3.00,1.00,0.00,0.00,18.00,100.00,0.00,0.00,0.00
1,2.89,8,649,176,4.00,1.00,0.00,0.00,19.00,100.00,0.00,0.00,0.00
1,2.97,8,623,176,3.00,1.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00
1,4.52,8,5187,245,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,10.00,21.00,0.00,0.00,0.00
1,2.79,8,657,176,4.00,1.00,0.00,0.00,21.00,100.00,0.00,0.00,0.00
1,5.71,8,2561,308,5.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2.86,8,639,176,4.00,1.00,0.00,0.00,22.00,100.00,0.00,0.00,0.00
1,4.61,8,7156,245,5.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.61,8,7175,245,6.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,6.95,8,2495,308,7.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,18.37,8,2756,575,8.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,26.37,8,493,245,9.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.91,8,647,176,8.00,1.00,0.00,0.00,23.00,100.00,0.00,0.00,0.00
1,2.97,8,649,176,9.00,1.00,0.00,0.00,24.00,100.00,0.00,0.00,0.00
1,5.33,8,7128,245,10.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,7.81,49,2475,1518,1.00,1.00,0.00,0.50,11.00,22.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,0.00,8,0,0,9.00,1.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00
1,2.97,8,645,176,10.00,1.00,0.00,0.00,25.00,100.00,0.00,0.00,0.00
1,5.98,8,2245,167,11.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.23,8,663,176,6.00,1.00,0.00,0.00,26.00,100.00,0.00,0.00,0.00
1,4.15,8,632,176,4.00,1.00,0.00,0.00,27.00,100.00,0.00,0.00,0.00
1,3.91,8,654,176,5.00,1.00,0.00,0.00,28.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
-1,0.00,49,9,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,2.94,8,667,176,3.00,1.00,0.00,0.00,29.00,100.00,0.00,0.00,0.00
1,6.60,8,2528,308,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,6.64,8,2482,308,5.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,26.91,8,2500,308,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,26.92,8,2446,308,7.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,5.68,8,974,338,7.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,1.16,49,128,219,0.00,0.00,0.00,1.00,0.00,21.00,0.00,0.00,0.00
1,3.31,8,2497,308,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.44,8,2437,308,1.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,6.61,49,2475,1518,1.00,1.00,0.00,0.67,1.00,21.00,0.00,0.00,0.00
1,96.28,8,35050,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,2.00,0.00,0.00,1.00
-1,1.11,49,128,219,1.00,1.00,0.00,0.50,12.00,22.00,0.00,0.00,0.00
1,3.56,8,2224,167,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,6.79,8,2483,308,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,6.83,8,2483,308,3.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,7.36,49,51,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
-1,7.40,49,2764,1750,1.00,1.00,0.00,0.33,13.00,23.00,0.00,0.00,0.00
1,5.23,8,10344,338,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,18.66,8,7074,583,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.00,8,0,0,0.00,0.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,15.98,8,7112,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,1.75,8,2458,308,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,1.72,8,2473,308,3.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,7.89,49,51,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
-1,1.17,49,128,219,0.00,0.00,0.00,0.00,14.00,23.00,0.00,0.00,0.00
1,34.89,8,6034,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.31,49,2475,1518,1.00,1.00,0.00,0.00,15.00,24.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,5.10,8,680,176,0.00,0.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,5.55,8,653,176,1.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,14.00,23.00,0.00,0.00,0.00
1,4.08,8,7132,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00
1,4.67,8,665,176,2.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
-1,6.28,49,2475,1518,1.00,1.00,0.00,0.50,15.00,23.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
-1,1.13,49,128,219,2.00,1.00,0.00,0.50,0.00,24.00,0.00,0.00,0.00
1,4.95,8,651,176,2.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
1,5.00,8,686,176,3.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
1,4.95,8,695,176,3.00,1.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00
1,6.49,8,10300,338,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.46,49,2467,1469,2.00,1.00,0.00,0.33,1.00,25.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
-1,0.00,20,0,0,3.00,0.00,0.00,0.00,11.00,55.00,0.00,0.00,0.02
1,5.12,8,673,176,4.00,1.00,0.00,0.00,6.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,1.00
1,12.33,8,5093,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.52,6,1879,2559,0.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00
-1,0.74,6,100407,2751,1.00,1.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00
-1,0.51,6,1895,2591,2.00,1.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00
1,5.24,8,698,176,1.00,1.00,0.00,0.00,7.00,100.00,0.00,0.00,0.00
1,8.44,8,5181,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,10.65,8,5155,245,3.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2.96,8,2501,308,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.36,8,2485,308,1.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.91,8,666,176,2.00,1.00,0.00,0.00,8.00,100.00,0.00,0.00,0.00
1,4.97,8,687,176,3.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
1,14.13,8,20596,524,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.10,49,128,219,0.00,0.00,0.00,0.00,16.00,26.00,0.00,0.00,0.00
1,74.71,8,0,0,4.00,1.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,2.00,0.00,0.00,1.00
-1,6.44,49,2475,1518,1.00,1.00,0.00,0.67,17.00,26.00,0.00,0.00,0.00
-1,1.14,49,128,219,2.00,1.00,0.00,0.50,2.00,27.00,0.00,0.00,0.00
1,4.31,8,5222,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,68.83,8,0,0,1.00,1.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
1,4.86,8,663,176,2.00,1.00,0.00,0.00,12.00,100.00,0.00,0.00,0.00
-1,32.86,49,4517,2691,1.00,1.00,0.00,0.33,3.00,28.00,0.00,0.00,0.00
1,119.18,8,121,250,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.05,8,5237,245,2.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.71,8,683,176,1.00,1.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00
1,4.80,8,5163,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,65.54,8,0,0,0.00,0.00,0.00,0.00,14.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
-1,1.11,49,128,219,0.00,0.00,0.00,1.00,18.00,28.00,0.00,0.00,0.00
1,7.07,8,7333,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.49,8,672,176,2.00,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00
-1,6.41,49,2475,1518,1.00,1.00,0.00,0.50,19.00,29.00,0.00,0.00,0.00
1,16.11,8,3090,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,74.94,8,0,0,3.00,1.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00
-1,0.00,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,38.33,49,184,1398767,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
1,3.66,8,5243,245,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,71.72,8,0,0,1.00,1.00,0.00,0.00,17.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
